onglet,ligne,libelle,categorie_proposee,nature_proposee,premiere_formule_cellule,formule_observee,onglets_references,erreurs_litterales,nombre_formules,statut
Hyp 2027,1,HYPOTHESES 2027 - seule zone de saisie du modele,À QUALIFIER,En-tête ou autre,B1,=B9+(B9/$J$9)*$M$5,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,2,Bleu = saisie (fichiers M01-M06 et SAZ Marge Tech FORECAST.xlsx) | Noir = formule,À QUALIFIER,En-tête ou autre,B2,=(B12/$J$12)*$L$11+B12,,,9,À valider métier ; formule non reprise automatiquement
Hyp 2027,3,DIRECT 2026 YTD (fichiers M01-M06),À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,5,Primes emises M01,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,J5,=SUM(B5:I5),,,3,À valider métier ; formule non reprise automatiquement
Hyp 2027,6,Primes emises M02,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,J6,=SUM(B6:I6),,,10,À valider métier ; formule non reprise automatiquement
Hyp 2027,7,Primes emises M03,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,E7,=2392440950.21417+1500000000,,,12,À valider métier ; formule non reprise automatiquement
Hyp 2027,8,Primes emises M04,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,C8,=2567548952.1017+200000000,,,12,À valider métier ; formule non reprise automatiquement
Hyp 2027,9,Primes emises M05,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,E9,=6167562601.13338-700000000,,,13,À valider métier ; formule non reprise automatiquement
Hyp 2027,10,Primes emises M06,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,B10,=4068649041.64682+200000000+200000000,,,13,À valider métier ; formule non reprise automatiquement
Hyp 2027,11,Primes emises M07,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,B11,=4569040691.11808+200000000,,,12,À valider métier ; formule non reprise automatiquement
Hyp 2027,12,Primes emises M08 (2025),PROJECTION TEMPORELLE,Flux ou stock selon la ligne,J12,=SUM(B12:I12),,,10,À valider métier ; formule non reprise automatiquement
Hyp 2027,13,Primes emises M09,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,J13,=SUM(B13:I13),,,10,À valider métier ; formule non reprise automatiquement
Hyp 2027,14,Primes emises M10,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,J14,=SUM(B14:I14),,,10,À valider métier ; formule non reprise automatiquement
Hyp 2027,15,Primes emises M11,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,J15,=SUM(B15:I15),,,10,À valider métier ; formule non reprise automatiquement
Hyp 2027,16,Primes emises M12,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,J16,=SUM(B16:I16),,,10,À valider métier ; formule non reprise automatiquement
Hyp 2027,17,(sans libellé),À QUALIFIER,En-tête ou autre,L17,=K17-J17,,,1,À valider métier ; formule non reprise automatiquement
Hyp 2027,19,Sinistres payes Per. M01,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,20,Sinistres payes Per. M02,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,21,Sinistres payes Per. M03,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,22,Sinistres payes Per. M04,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,23,Sinistres payes Per. M05,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,24,Sinistres payes Per. M06,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,25,Sinistres payes Per. M07,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,26,Sinistres payes Per. M08 (2025),PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,27,Sinistres payes Per. M09,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,28,Sinistres payes Per. M10,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,29,Sinistres payes Per. M11,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,30,Sinistres payes Per. M12,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,32,Sinistres payes Ant. M01,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,33,Sinistres payes Ant. M02,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,34,Sinistres payes Ant. M03,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,35,Sinistres payes Ant. M04,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,36,Sinistres payes Ant. M05,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,37,Sinistres payes Ant. M06,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,38,Sinistres payes Ant. M07,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,39,Sinistres payes Ant. M08 (2025),PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,40,Sinistres payes Ant. M09,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,41,Sinistres payes Ant. M10,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,42,Sinistres payes Ant. M11,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,43,Sinistres payes Ant. M12,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,45,Commissions M01,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,46,Commissions M02,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,47,Commissions M03,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,48,Commissions M04,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,49,Commissions M05,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,50,Commissions M06,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,51,Commissions M07,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,52,Commissions M08 (2025),PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,53,Commissions M09,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,54,Commissions M10,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,55,Commissions M11,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,,,,,0,À valider métier ; formule non reprise automatiquement
